ICD-10,Lab_Item,Original_ICD_Range
C340,"Cytology, respiratory specimen",C33–C349
C340,EGFR mutation,C33–C349
C340,ALK rearrangement,C33–C349
C340,ROS1 rearrangement,C33–C349
C340,BRAF mutation,C33–C349
C340,PD-L1 immunohistochemistry,C33–C349
C341,"Histopathology, lung/bronchial biopsy",C33–C349
C341,"Cytology, respiratory specimen",C33–C349
C341,EGFR mutation,C33–C349
C341,ALK rearrangement,C33–C349
C341,ROS1 rearrangement,C33–C349
C341,BRAF mutation,C33–C349
C341,PD-L1 immunohistochemistry,C33–C349
C342,"Histopathology, lung/bronchial biopsy",C33–C349
C342,"Cytology, respiratory specimen",C33–C349
C342,EGFR mutation,C33–C349
C342,ALK rearrangement,C33–C349
C342,ROS1 rearrangement,C33–C349
C342,BRAF mutation,C33–C349
C342,PD-L1 immunohistochemistry,C33–C349
C343,"Histopathology, lung/bronchial biopsy",C33–C349
C343,"Cytology, respiratory specimen",C33–C349
C343,EGFR mutation,C33–C349
C343,ALK rearrangement,C33–C349
C343,ROS1 rearrangement,C33–C349
C343,BRAF mutation,C33–C349
C343,PD-L1 immunohistochemistry,C33–C349
C348,"Histopathology, lung/bronchial biopsy",C33–C349
C348,"Cytology, respiratory specimen",C33–C349
C348,EGFR mutation,C33–C349
C348,ALK rearrangement,C33–C349
C348,ROS1 rearrangement,C33–C349
C348,BRAF mutation,C33–C349
C348,PD-L1 immunohistochemistry,C33–C349
C349,"Histopathology, lung/bronchial biopsy",C33–C349
C349,"Cytology, respiratory specimen",C33–C349
C349,EGFR mutation,C33–C349
C349,ALK rearrangement,C33–C349
C349,ROS1 rearrangement,C33–C349
C349,BRAF mutation,C33–C349
C349,PD-L1 immunohistochemistry,C33–C349
C37,"Histopathology, thymus tissue biopsy",C37
C37,Immunohistochemistry panel,C37
C380,"Histopathology, tissue biopsy",C380–C399
C380,"Cytology, pleural fluid if pleural lesion",C380–C399
C381,"Histopathology, tissue biopsy",C380–C399
C381,"Cytology, pleural fluid if pleural lesion",C380–C399
C382,"Histopathology, tissue biopsy",C380–C399
C382,"Cytology, pleural fluid if pleural lesion",C380–C399
C383,"Histopathology, tissue biopsy",C380–C399
C383,"Cytology, pleural fluid if pleural lesion",C380–C399
C384,"Histopathology, tissue biopsy",C380–C399
C384,"Cytology, pleural fluid if pleural lesion",C380–C399
C388,"Histopathology, tissue biopsy",C380–C399
C388,"Cytology, pleural fluid if pleural lesion",C380–C399
C390,"Histopathology, tissue biopsy",C380–C399
C390,"Cytology, pleural fluid if pleural lesion",C380–C399
C398,"Histopathology, tissue biopsy",C380–C399
C398,"Cytology, pleural fluid if pleural lesion",C380–C399
C399,"Histopathology, tissue biopsy",C380–C399
C399,"Cytology, pleural fluid if pleural lesion",C380–C399
C400,"Histopathology, bone biopsy",C400–C419
C400,ALP,C400–C419
C401,"Histopathology, bone biopsy",C400–C419
C401,ALP,C400–C419
C402,"Histopathology, bone biopsy",C400–C419
C402,ALP,C400–C419
C403,"Histopathology, bone biopsy",C400–C419
C403,ALP,C400–C419
C408,"Histopathology, bone biopsy",C400–C419
C408,ALP,C400–C419
C409,"Histopathology, bone biopsy",C400–C419
C409,ALP,C400–C419
C410,"Histopathology, bone biopsy",C400–C419
C410,ALP,C400–C419
C411,"Histopathology, bone biopsy",C400–C419
C411,ALP,C400–C419
C412,"Histopathology, bone biopsy",C400–C419
C412,ALP,C400–C419
C413,"Histopathology, bone biopsy",C400–C419
C413,ALP,C400–C419
C414,"Histopathology, bone biopsy",C400–C419
C414,ALP,C400–C419
C418,"Histopathology, bone biopsy",C400–C419
C418,ALP,C400–C419
C419,"Histopathology, bone biopsy",C400–C419
C419,ALP,C400–C419
C430,"Histopathology, skin biopsy",C430–C439
C430,BRAF mutation,C430–C439
C430,NRAS mutation,C430–C439
C430,KIT mutation,C430–C439
C431,"Histopathology, skin biopsy",C430–C439
C431,BRAF mutation,C430–C439
C431,NRAS mutation,C430–C439
C431,KIT mutation,C430–C439
C432,"Histopathology, skin biopsy",C430–C439
C432,BRAF mutation,C430–C439
C432,NRAS mutation,C430–C439
C432,KIT mutation,C430–C439
C433,"Histopathology, skin biopsy",C430–C439
C433,BRAF mutation,C430–C439
C433,NRAS mutation,C430–C439
C433,KIT mutation,C430–C439
C434,"Histopathology, skin biopsy",C430–C439
C434,BRAF mutation,C430–C439
C434,NRAS mutation,C430–C439
C434,KIT mutation,C430–C439
C435,"Histopathology, skin biopsy",C430–C439
C435,BRAF mutation,C430–C439
C435,NRAS mutation,C430–C439
C435,KIT mutation,C430–C439
C436,"Histopathology, skin biopsy",C430–C439
C436,BRAF mutation,C430–C439
C436,NRAS mutation,C430–C439
C436,KIT mutation,C430–C439
C437,"Histopathology, skin biopsy",C430–C439
C437,BRAF mutation,C430–C439
C437,NRAS mutation,C430–C439
C437,KIT mutation,C430–C439
C438,"Histopathology, skin biopsy",C430–C439
C438,BRAF mutation,C430–C439
C438,NRAS mutation,C430–C439
C438,KIT mutation,C430–C439
C439,"Histopathology, skin biopsy",C430–C439
C439,BRAF mutation,C430–C439
C439,NRAS mutation,C430–C439
C439,KIT mutation,C430–C439
C440,"Histopathology, skin biopsy",C440–C449
C441,"Histopathology, skin biopsy",C440–C449
C442,"Histopathology, skin biopsy",C440–C449
C443,"Histopathology, skin biopsy",C440–C449
C444,"Histopathology, skin biopsy",C440–C449
C445,"Histopathology, skin biopsy",C440–C449
C446,"Histopathology, skin biopsy",C440–C449
C447,"Histopathology, skin biopsy",C440–C449
C448,"Histopathology, skin biopsy",C440–C449
C449,"Histopathology, skin biopsy",C440–C449
C450,"Histopathology, tissue biopsy",C450–C459
C450,Calretinin immunohistochemistry,C450–C459
C450,WT1 immunohistochemistry,C450–C459
C450,D2-40 immunohistochemistry,C450–C459
C451,"Histopathology, tissue biopsy",C450–C459
C451,Calretinin immunohistochemistry,C450–C459
C451,WT1 immunohistochemistry,C450–C459
C451,D2-40 immunohistochemistry,C450–C459
C452,"Histopathology, tissue biopsy",C450–C459
C452,Calretinin immunohistochemistry,C450–C459
C452,WT1 immunohistochemistry,C450–C459
C452,D2-40 immunohistochemistry,C450–C459
C457,"Histopathology, tissue biopsy",C450–C459
C457,Calretinin immunohistochemistry,C450–C459
C457,WT1 immunohistochemistry,C450–C459
C457,D2-40 immunohistochemistry,C450–C459
C459,"Histopathology, tissue biopsy",C450–C459
C459,Calretinin immunohistochemistry,C450–C459
C459,WT1 immunohistochemistry,C450–C459
C459,D2-40 immunohistochemistry,C450–C459
C460,"Histopathology, tissue biopsy",C460–C469
C460,HHV-8 immunohistochemistry,C460–C469
C461,"Histopathology, tissue biopsy",C460–C469
C461,HHV-8 immunohistochemistry,C460–C469
C462,"Histopathology, tissue biopsy",C460–C469
C462,HHV-8 immunohistochemistry,C460–C469
C463,"Histopathology, tissue biopsy",C460–C469
C463,HHV-8 immunohistochemistry,C460–C469
C467,"Histopathology, tissue biopsy",C460–C469
C467,HHV-8 immunohistochemistry,C460–C469
C468,"Histopathology, tissue biopsy",C460–C469
C468,HHV-8 immunohistochemistry,C460–C469
C469,"Histopathology, tissue biopsy",C460–C469
C469,HHV-8 immunohistochemistry,C460–C469
C470,"Histopathology, tissue biopsy",C470–C499
C470,Immunohistochemistry panel,C470–C499
C471,"Histopathology, tissue biopsy",C470–C499
C471,Immunohistochemistry panel,C470–C499
C472,"Histopathology, tissue biopsy",C470–C499
C472,Immunohistochemistry panel,C470–C499
C473,"Histopathology, tissue biopsy",C470–C499
C473,Immunohistochemistry panel,C470–C499
C474,"Histopathology, tissue biopsy",C470–C499
C474,Immunohistochemistry panel,C470–C499
C475,"Histopathology, tissue biopsy",C470–C499
C475,Immunohistochemistry panel,C470–C499
C476,"Histopathology, tissue biopsy",C470–C499
C476,Immunohistochemistry panel,C470–C499
C478,"Histopathology, tissue biopsy",C470–C499
C478,Immunohistochemistry panel,C470–C499
C479,"Histopathology, tissue biopsy",C470–C499
C479,Immunohistochemistry panel,C470–C499
C480,"Histopathology, tissue biopsy",C470–C499
C480,Immunohistochemistry panel,C470–C499
C481,"Histopathology, tissue biopsy",C470–C499
C481,Immunohistochemistry panel,C470–C499
C482,"Histopathology, tissue biopsy",C470–C499
C482,Immunohistochemistry panel,C470–C499
C488,"Histopathology, tissue biopsy",C470–C499
C488,Immunohistochemistry panel,C470–C499
C490,"Histopathology, tissue biopsy",C470–C499
C490,Immunohistochemistry panel,C470–C499
C491,"Histopathology, tissue biopsy",C470–C499
C491,Immunohistochemistry panel,C470–C499
C492,"Histopathology, tissue biopsy",C470–C499
C492,Immunohistochemistry panel,C470–C499
C493,"Histopathology, tissue biopsy",C470–C499
C493,Immunohistochemistry panel,C470–C499
C494,"Histopathology, tissue biopsy",C470–C499
C494,Immunohistochemistry panel,C470–C499
C495,"Histopathology, tissue biopsy",C470–C499
C495,Immunohistochemistry panel,C470–C499
C496,"Histopathology, tissue biopsy",C470–C499
C496,Immunohistochemistry panel,C470–C499
C498,"Histopathology, tissue biopsy",C470–C499
C498,Immunohistochemistry panel,C470–C499
C499,"Histopathology, tissue biopsy",C470–C499
C499,Immunohistochemistry panel,C470–C499
C500,"Histopathology, breast biopsy",C500–C509
C500,Estrogen receptor immunohistochemistry,C500–C509
C500,Progesterone receptor immunohistochemistry,C500–C509
C500,HER2 immunohistochemistry,C500–C509
C500,HER2 FISH/ISH,C500–C509
C500,Ki-67,C500–C509
C501,"Histopathology, breast biopsy",C500–C509
C501,Estrogen receptor immunohistochemistry,C500–C509
C501,Progesterone receptor immunohistochemistry,C500–C509
C501,HER2 immunohistochemistry,C500–C509
C501,HER2 FISH/ISH,C500–C509
C501,Ki-67,C500–C509
C502,"Histopathology, breast biopsy",C500–C509
C502,Estrogen receptor immunohistochemistry,C500–C509
C502,Progesterone receptor immunohistochemistry,C500–C509
C502,HER2 immunohistochemistry,C500–C509
C502,HER2 FISH/ISH,C500–C509
C502,Ki-67,C500–C509
C503,"Histopathology, breast biopsy",C500–C509
C503,Estrogen receptor immunohistochemistry,C500–C509
C503,Progesterone receptor immunohistochemistry,C500–C509
C503,HER2 immunohistochemistry,C500–C509
C503,HER2 FISH/ISH,C500–C509
C503,Ki-67,C500–C509
C504,"Histopathology, breast biopsy",C500–C509
C504,Estrogen receptor immunohistochemistry,C500–C509
C504,Progesterone receptor immunohistochemistry,C500–C509
C504,HER2 immunohistochemistry,C500–C509
C504,HER2 FISH/ISH,C500–C509
C504,Ki-67,C500–C509
C505,"Histopathology, breast biopsy",C500–C509
C505,Estrogen receptor immunohistochemistry,C500–C509
C505,Progesterone receptor immunohistochemistry,C500–C509
C505,HER2 immunohistochemistry,C500–C509
C505,HER2 FISH/ISH,C500–C509
C505,Ki-67,C500–C509
C506,"Histopathology, breast biopsy",C500–C509
C506,Estrogen receptor immunohistochemistry,C500–C509
C506,Progesterone receptor immunohistochemistry,C500–C509
C506,HER2 immunohistochemistry,C500–C509
C506,HER2 FISH/ISH,C500–C509
C506,Ki-67,C500–C509
C508,"Histopathology, breast biopsy",C500–C509
C508,Estrogen receptor immunohistochemistry,C500–C509
C508,Progesterone receptor immunohistochemistry,C500–C509
C508,HER2 immunohistochemistry,C500–C509
C508,HER2 FISH/ISH,C500–C509
C508,Ki-67,C500–C509
C509,"Histopathology, breast biopsy",C500–C509
C509,Estrogen receptor immunohistochemistry,C500–C509
C509,Progesterone receptor immunohistochemistry,C500–C509
C509,HER2 immunohistochemistry,C500–C509
C509,HER2 FISH/ISH,C500–C509
C509,Ki-67,C500–C509
C510,"Histopathology, tissue biopsy",C510–C529
C510,p16 immunohistochemistry,C510–C529
C510,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C511,"Histopathology, tissue biopsy",C510–C529
C511,p16 immunohistochemistry,C510–C529
C511,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C512,"Histopathology, tissue biopsy",C510–C529
C512,p16 immunohistochemistry,C510–C529
C512,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C518,"Histopathology, tissue biopsy",C510–C529
C518,p16 immunohistochemistry,C510–C529
C518,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C519,"Histopathology, tissue biopsy",C510–C529
C519,p16 immunohistochemistry,C510–C529
C519,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C52,"Histopathology, tissue biopsy",C510–C529
C52,p16 immunohistochemistry,C510–C529
C52,HPV DNA/RNA detection if HPV-related lesion suspected,C510–C529
C530,"Histopathology, cervical biopsy",C530–C539
C530,HPV DNA detection,C530–C539
C530,p16 immunohistochemistry,C530–C539
C531,"Histopathology, cervical biopsy",C530–C539
C531,HPV DNA detection,C530–C539
C531,p16 immunohistochemistry,C530–C539
C538,"Histopathology, cervical biopsy",C530–C539
C538,HPV DNA detection,C530–C539
C538,p16 immunohistochemistry,C530–C539
C539,"Histopathology, cervical biopsy",C530–C539
C539,HPV DNA detection,C530–C539
C539,p16 immunohistochemistry,C530–C539
C540,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C540,Mismatch repair protein immunohistochemistry,C540–C55
C540,Estrogen receptor immunohistochemistry,C540–C55
C540,Progesterone receptor immunohistochemistry,C540–C55
C541,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C541,Mismatch repair protein immunohistochemistry,C540–C55
C541,Estrogen receptor immunohistochemistry,C540–C55
C541,Progesterone receptor immunohistochemistry,C540–C55
C542,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C542,Mismatch repair protein immunohistochemistry,C540–C55
C542,Estrogen receptor immunohistochemistry,C540–C55
C542,Progesterone receptor immunohistochemistry,C540–C55
C543,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C543,Mismatch repair protein immunohistochemistry,C540–C55
C543,Estrogen receptor immunohistochemistry,C540–C55
C543,Progesterone receptor immunohistochemistry,C540–C55
C548,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C548,Mismatch repair protein immunohistochemistry,C540–C55
C548,Estrogen receptor immunohistochemistry,C540–C55
C548,Progesterone receptor immunohistochemistry,C540–C55
C549,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C549,Mismatch repair protein immunohistochemistry,C540–C55
C549,Estrogen receptor immunohistochemistry,C540–C55
C549,Progesterone receptor immunohistochemistry,C540–C55
C55,"Histopathology, endometrial/uterine tissue biopsy",C540–C55
C55,Mismatch repair protein immunohistochemistry,C540–C55
C55,Estrogen receptor immunohistochemistry,C540–C55
C55,Progesterone receptor immunohistochemistry,C540–C55
C56,"Histopathology, ovarian/female genital tissue biopsy",C56–C579
C56,CA-125,C56–C579
